frame,blur_score,brightness_score,motion_score,reliability
frame_000199.jpg,0.034,1.0,1.0,0.517
frame_000200.jpg,0.0324,1.0,1.0,0.5162
frame_000201.jpg,0.0256,1.0,1.0,0.5128
frame_000202.jpg,0.027,1.0,1.0,0.5135
frame_000203.jpg,0.0322,1.0,1.0,0.5161
frame_000204.jpg,0.0398,1.0,1.0,0.5199
frame_000205.jpg,0.0376,1.0,1.0,0.5188
frame_000206.jpg,0.033,1.0,1.0,0.5165
frame_000207.jpg,0.0415,1.0,1.0,0.5207
frame_000208.jpg,0.0517,1.0,1.0,0.5259
frame_000209.jpg,0.0501,1.0,1.0,0.5251
frame_000210.jpg,0.0428,1.0,1.0,0.5214
frame_000211.jpg,0.0537,1.0,1.0,0.5269
frame_000212.jpg,0.0515,1.0,1.0,0.5257
frame_000213.jpg,0.0413,1.0,1.0,0.5207
frame_000214.jpg,0.0413,1.0,1.0,0.5207
frame_000215.jpg,0.0402,1.0,1.0,0.5201
frame_000216.jpg,0.0347,1.0,1.0,0.5173
frame_000217.jpg,0.0365,1.0,1.0,0.5182
frame_000218.jpg,0.0493,1.0,1.0,0.5247
frame_000219.jpg,0.0369,1.0,1.0,0.5185
frame_000220.jpg,0.039,1.0,1.0,0.5195
frame_000221.jpg,0.0344,1.0,1.0,0.5172
frame_000222.jpg,0.0293,1.0,1.0,0.5147
frame_000223.jpg,0.0335,1.0,1.0,0.5168
frame_000224.jpg,0.0299,1.0,1.0,0.515
frame_000225.jpg,0.0361,1.0,1.0,0.518
frame_000226.jpg,0.0438,1.0,1.0,0.5219
frame_000227.jpg,0.0373,1.0,1.0,0.5186
frame_000228.jpg,0.0326,1.0,1.0,0.5163
frame_000229.jpg,0.0304,1.0,1.0,0.5152
frame_000230.jpg,0.0306,1.0,1.0,0.5153
frame_000231.jpg,0.0372,1.0,1.0,0.5186
frame_000232.jpg,0.035,1.0,1.0,0.5175
frame_000233.jpg,0.0283,1.0,1.0,0.5142
frame_000234.jpg,0.0328,1.0,1.0,0.5164
frame_000235.jpg,0.0263,1.0,1.0,0.5132
frame_000236.jpg,0.0268,1.0,1.0,0.5134
frame_000237.jpg,0.0295,1.0,1.0,0.5148
frame_000238.jpg,0.0273,1.0,1.0,0.5137
frame_000239.jpg,0.0232,1.0,1.0,0.5116
frame_000240.jpg,0.0243,1.0,1.0,0.5121
frame_000241.jpg,0.031,1.0,1.0,0.5155
frame_000242.jpg,0.0334,1.0,1.0,0.5167
frame_000243.jpg,0.029,1.0,1.0,0.5145
frame_000244.jpg,0.027,1.0,1.0,0.5135
frame_000245.jpg,0.0266,1.0,1.0,0.5133
frame_000246.jpg,0.0278,1.0,1.0,0.5139
frame_000247.jpg,0.0287,1.0,1.0,0.5143
frame_000248.jpg,0.0301,1.0,1.0,0.515
frame_000249.jpg,0.0265,1.0,1.0,0.5132
frame_000250.jpg,0.0279,1.0,1.0,0.514
frame_000251.jpg,0.0286,1.0,1.0,0.5143
frame_000252.jpg,0.0274,1.0,1.0,0.5137
frame_000253.jpg,0.0255,1.0,1.0,0.5127
frame_000254.jpg,0.0234,1.0,1.0,0.5117
frame_000255.jpg,0.0268,1.0,1.0,0.5134
frame_000256.jpg,0.0304,1.0,1.0,0.5152
frame_000257.jpg,0.0303,1.0,1.0,0.5151
frame_000258.jpg,0.0315,1.0,1.0,0.5158
frame_000259.jpg,0.0294,1.0,1.0,0.5147
frame_000260.jpg,0.0293,1.0,1.0,0.5146
frame_000261.jpg,0.0281,1.0,1.0,0.514
frame_000262.jpg,0.0281,1.0,1.0,0.5141
frame_000263.jpg,0.0273,1.0,1.0,0.5136
frame_000264.jpg,0.027,1.0,1.0,0.5135
frame_000265.jpg,0.0313,1.0,1.0,0.5156
frame_000266.jpg,0.0305,1.0,1.0,0.5152
frame_000267.jpg,0.033,1.0,1.0,0.5165
frame_000268.jpg,0.0311,1.0,1.0,0.5155
frame_000269.jpg,0.0306,1.0,1.0,0.5153
frame_000270.jpg,0.0297,1.0,1.0,0.5149
frame_000271.jpg,0.0304,1.0,1.0,0.5152
frame_000272.jpg,0.0282,1.0,1.0,0.5141
frame_000273.jpg,0.0299,1.0,1.0,0.515
frame_000274.jpg,0.0276,1.0,1.0,0.5138
frame_000275.jpg,0.0335,1.0,1.0,0.5167
frame_000276.jpg,0.035,1.0,1.0,0.5175
frame_000277.jpg,0.0363,1.0,1.0,0.5182
frame_000278.jpg,0.0293,1.0,1.0,0.5147
frame_000279.jpg,0.0263,1.0,1.0,0.5132
frame_000280.jpg,0.0236,1.0,1.0,0.5118
frame_000281.jpg,0.0208,1.0,1.0,0.5104
frame_000282.jpg,0.0157,1.0,1.0,0.5078
frame_000283.jpg,0.0163,1.0,1.0,0.5081
frame_000284.jpg,0.0215,1.0,1.0,0.5107
frame_000285.jpg,0.0219,1.0,1.0,0.5109
frame_000286.jpg,0.0221,1.0,1.0,0.511
frame_000287.jpg,0.0287,1.0,1.0,0.5144
frame_000288.jpg,0.035,1.0,1.0,0.5175
frame_000289.jpg,0.0324,1.0,1.0,0.5162
frame_000290.jpg,0.0367,1.0,1.0,0.5183
frame_000291.jpg,0.0262,1.0,1.0,0.5131
frame_000292.jpg,0.0379,1.0,1.0,0.5189
frame_000293.jpg,0.0336,1.0,1.0,0.5168
frame_000294.jpg,0.0513,1.0,1.0,0.5257
frame_000295.jpg,0.0448,1.0,1.0,0.5224
frame_000296.jpg,0.0383,1.0,1.0,0.5192
frame_000297.jpg,0.0452,1.0,1.0,0.5226
frame_000298.jpg,0.0341,1.0,1.0,0.517
frame_000299.jpg,0.0373,1.0,1.0,0.5187
frame_000300.jpg,0.0725,1.0,1.0,0.5362
frame_000301.jpg,0.0782,1.0,1.0,0.5391
frame_000302.jpg,0.036,1.0,1.0,0.518
frame_000303.jpg,0.0651,1.0,1.0,0.5326
frame_000304.jpg,0.0444,1.0,1.0,0.5222
frame_000305.jpg,0.0599,1.0,1.0,0.53
frame_000306.jpg,0.0369,1.0,1.0,0.5185
frame_000307.jpg,0.0407,1.0,1.0,0.5203
frame_000308.jpg,0.0399,1.0,1.0,0.52
frame_000309.jpg,0.0654,1.0,1.0,0.5327
frame_000310.jpg,0.0602,1.0,1.0,0.5301
frame_000311.jpg,0.0519,1.0,1.0,0.526
frame_000312.jpg,0.0481,1.0,1.0,0.5241
frame_000313.jpg,0.0508,1.0,1.0,0.5254
frame_000314.jpg,0.0566,1.0,1.0,0.5283
frame_000315.jpg,0.0496,1.0,1.0,0.5248
frame_000316.jpg,0.0611,1.0,1.0,0.5306
frame_000317.jpg,0.0577,1.0,1.0,0.5289
frame_000318.jpg,0.0534,1.0,1.0,0.5267
frame_000319.jpg,0.0502,1.0,1.0,0.5251
frame_000320.jpg,0.0494,1.0,1.0,0.5247
frame_000321.jpg,0.0541,1.0,1.0,0.527
frame_000322.jpg,0.0387,1.0,1.0,0.5194
frame_000323.jpg,0.0386,1.0,1.0,0.5193
frame_000324.jpg,0.0471,1.0,1.0,0.5236
frame_000325.jpg,0.0347,1.0,1.0,0.5173
frame_000326.jpg,0.0307,1.0,1.0,0.5154
frame_000327.jpg,0.0513,1.0,1.0,0.5257
frame_000328.jpg,0.0488,1.0,1.0,0.5244
frame_000329.jpg,0.0556,1.0,1.0,0.5278
frame_000330.jpg,0.033,1.0,1.0,0.5165
frame_000331.jpg,0.0536,1.0,1.0,0.5268
frame_000332.jpg,0.0598,1.0,1.0,0.5299
frame_000333.jpg,0.0372,1.0,1.0,0.5186
frame_000334.jpg,0.0345,1.0,1.0,0.5172
frame_000335.jpg,0.0521,1.0,1.0,0.526
frame_000336.jpg,0.066,1.0,1.0,0.533
frame_000337.jpg,0.0708,1.0,1.0,0.5354
frame_000338.jpg,0.0293,1.0,1.0,0.5146
frame_000339.jpg,0.0279,1.0,1.0,0.5139
frame_000340.jpg,0.0426,1.0,1.0,0.5213
frame_000341.jpg,0.0334,1.0,1.0,0.5167
frame_000342.jpg,0.0275,1.0,1.0,0.5138
frame_000343.jpg,0.0292,1.0,1.0,0.5146
frame_000344.jpg,0.0247,1.0,1.0,0.5124
frame_000345.jpg,0.0222,1.0,1.0,0.5111
frame_000346.jpg,0.0251,1.0,1.0,0.5125
frame_000347.jpg,0.0264,1.0,1.0,0.5132
frame_000348.jpg,0.0252,1.0,1.0,0.5126
frame_000349.jpg,0.0301,1.0,1.0,0.515
frame_000350.jpg,0.0288,1.0,1.0,0.5144
frame_000351.jpg,0.0322,1.0,1.0,0.5161
frame_000352.jpg,0.0295,1.0,1.0,0.5147
frame_000353.jpg,0.0284,1.0,1.0,0.5142
frame_000354.jpg,0.0305,1.0,1.0,0.5152
frame_000355.jpg,0.0451,1.0,1.0,0.5226
frame_000356.jpg,0.0404,1.0,1.0,0.5202
frame_000357.jpg,0.0462,1.0,1.0,0.5231
frame_000358.jpg,0.0475,1.0,1.0,0.5237
frame_000359.jpg,0.0334,1.0,1.0,0.5167
frame_000360.jpg,0.0366,1.0,1.0,0.5183
frame_000361.jpg,0.0357,1.0,1.0,0.5178
frame_000362.jpg,0.0451,1.0,1.0,0.5226
frame_000363.jpg,0.0506,1.0,1.0,0.5253
